Name,Sales
Wii Sports,82.53
Super Mario Bros.,40.24
Mario Kart Wii,35.52
Wii Sports Resort,32.77
Pokemon Red/Pokemon Blue,31.37
Tetris,30.26
New Super Mario Bros.,29.8
Wii Play,28.92
New Super Mario Bros. Wii,28.32
Duck Hunt,28.31
Nintendogs,24.67
Mario Kart DS,23.21
Pokemon Gold/Pokemon Silver,23.1
Wii Fit,22.7
Kinect Adventures!,21.81
Wii Fit Plus,21.79
Grand Theft Auto V,21.04
Grand Theft Auto: San Andreas,20.81
Super Mario World,20.61
Brain Age: Train Your Brain in Minutes a Day,20.15
